iter	Passed	Remaining
0	18	74763
1	31	63522
2	62	82951
3	84	84016
4	105	84285
5	125	83326
6	142	81446
7	167	83571
8	186	82868
9	206	82501
10	218	79133
11	234	77795
12	248	76203
13	261	74312
14	277	73778
15	290	72290
16	301	70657
17	316	70038
18	325	68279
19	334	66547
20	345	65395
21	356	64389
22	366	63372
23	375	62177
24	385	61224
25	398	60921
26	410	60416
27	420	59581
28	429	58865
29	438	58065
30	447	57276
31	456	56619
32	465	55988
33	475	55416
34	486	55063
35	495	54515
36	503	53915
37	511	53344
38	520	52827
39	529	52381
40	538	51965
41	546	51519
42	561	51692
43	571	51344
44	580	50981
45	591	50883
46	608	51136
47	626	51572
48	637	51396
49	646	51060
50	659	51033
51	668	50728
52	688	51275
53	698	51067
54	708	50799
55	717	50514
56	726	50233
57	735	50012
58	745	49795
59	756	49692
60	766	49508
61	777	49356
62	786	49122
63	796	48979
64	811	49125
65	821	48972
66	836	49081
67	844	48853
68	854	48653
69	862	48451
70	871	48238
71	881	48073
72	889	47860
73	898	47690
74	907	47502
75	922	47613
76	936	47693
77	962	48390
78	976	48457
79	989	48483
80	999	48354
81	1018	48665
82	1032	48718
83	1046	48767
84	1061	48893
85	1077	49016
86	1086	48866
87	1100	48902
88	1108	48720
89	1117	48547
90	1126	48401
91	1135	48247
92	1144	48098
93	1154	47954
94	1163	47831
95	1173	47729
96	1184	47651
97	1198	47721
98	1212	47781
99	1222	47675
100	1232	47596
101	1242	47467
102	1252	47387
103	1261	47273
104	1271	47167
105	1281	47067
106	1290	46963
107	1299	46840
108	1309	46745
109	1318	46624
110	1328	46533
111	1337	46427
112	1346	46310
113	1355	46218
114	1364	46106
115	1375	46051
116	1389	46124
117	1401	46119
118	1422	46384
119	1439	46546
120	1458	46747
121	1486	47251
122	1513	47694
123	1525	47683
124	1538	47689
125	1549	47645
126	1560	47592
127	1576	47681
128	1587	47632
129	1596	47534
130	1605	47431
131	1615	47336
132	1624	47222
133	1632	47107
134	1642	47025
135	1652	46945
136	1665	46957
137	1674	46850
138	1683	46768
139	1693	46692
140	1714	46912
141	1727	46937
142	1738	46878
143	1753	46955
144	1762	46866
145	1772	46797
146	1781	46706
147	1791	46624
148	1801	46559
149	1811	46492
150	1822	46466
151	1843	46670
152	1856	46682
153	1868	46655
154	1879	46622
155	1888	46530
156	1897	46441
157	1906	46355
158	1918	46357
159	1933	46409
160	1947	46427
161	1957	46374
162	1966	46290
163	1975	46203
164	1983	46104
165	1993	46044
166	2008	46088
167	2033	46376
168	2042	46290
169	2050	46196
170	2060	46135
171	2069	46054
172	2078	45980
173	2087	45908
174	2096	45821
175	2105	45747
176	2115	45692
177	2125	45634
178	2134	45553
179	2143	45484
180	2151	45391
181	2160	45321
182	2170	45261
183	2180	45220
184	2190	45161
185	2200	45120
186	2209	45050
187	2218	44982
188	2227	44906
189	2235	44823
190	2263	45129
191	2288	45394
192	2301	45389
193	2314	45412
194	2326	45403
195	2337	45366
196	2358	45537
197	2378	45668
198	2392	45693
199	2401	45630
200	2410	45558
201	2419	45488
202	2428	45423
203	2437	45351
204	2446	45287
205	2455	45229
206	2465	45184
207	2474	45110
208	2483	45050
209	2493	45006
210	2502	44945
211	2512	44899
212	2530	44997
213	2542	44987
214	2551	44917
215	2574	45101
216	2589	45149
217	2606	45215
218	2619	45219
219	2630	45204
220	2640	45155
221	2650	45107
222	2660	45067
223	2679	45167
224	2691	45158
225	2700	45093
226	2713	45107
227	2728	45139
228	2739	45108
229	2748	45046
230	2757	44987
231	2766	44933
232	2776	44885
233	2786	44852
234	2805	44943
235	2818	44958
236	2830	44935
237	2839	44878
238	2848	44827
239	2858	44776
240	2867	44732
241	2877	44688
242	2888	44652
243	2899	44627
244	2910	44600
245	2920	44566
246	2930	44525
247	2940	44494
248	2951	44463
249	2962	44438
250	2973	44413
251	2983	44368
252	2992	44325
253	3002	44286
254	3012	44243
255	3022	44200
256	3042	44308
257	3052	44271
258	3062	44237
259	3072	44198
260	3082	44154
261	3091	44111
262	3102	44080
263	3112	44046
264	3122	44011
265	3133	43988
266	3144	43963
267	3155	43945
268	3166	43922
269	3176	43886
270	3186	43847
271	3196	43813
272	3207	43783
273	3218	43763
274	3234	43808
275	3251	43877
276	3267	43913
277	3282	43942
278	3293	43926
279	3303	43894
280	3314	43864
281	3324	43835
282	3335	43804
283	3346	43785
284	3356	43754
285	3367	43735
286	3379	43720
287	3390	43696
288	3400	43667
289	3416	43702
290	3435	43788
291	3447	43772
292	3459	43775
293	3470	43752
294	3480	43707
295	3490	43672
296	3499	43628
297	3509	43593
298	3518	43555
299	3529	43535
300	3540	43509
301	3550	43481
302	3560	43437
303	3570	43408
304	3580	43380
305	3590	43345
306	3600	43308
307	3617	43364
308	3631	43373
309	3649	43441
310	3659	43408
311	3669	43373
312	3686	43427
313	3700	43435
314	3713	43436
315	3732	43510
316	3749	43558
317	3763	43572
318	3775	43569
319	3784	43524
320	3793	43480
321	3803	43439
322	3812	43406
323	3821	43353
324	3833	43348
325	3848	43373
326	3864	43408
327	3875	43381
328	3885	43356
329	3895	43317
330	3905	43292
331	3915	43258
332	3925	43223
333	3934	43184
334	3944	43153
335	3953	43114
336	3963	43078
337	3974	43057
338	3983	43023
339	3993	42991
340	4002	42951
341	4013	42926
342	4023	42896
343	4033	42866
344	4044	42846
345	4053	42811
346	4064	42786
347	4073	42750
348	4083	42721
349	4095	42710
350	4104	42674
351	4114	42645
352	4124	42614
353	4134	42579
354	4146	42576
355	4171	42694
356	4184	42703
357	4198	42715
358	4213	42735
359	4226	42736
360	4246	42807
361	4266	42872
362	4276	42843
